,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
511,BORDER REFRIED BEANS,68.17,144,7.3,5.0,2.01,17.52,8.2,0.84,57.0,1.67,47.0,137.0,423.0,378.0,0.98,0.204,0.4,8.8,0.0,0.145,0.105,0.52,0.28,,36.0,,36.0,,55.7,0.1,,,,,,,,,0.1,,,2.1,1.819,1.648,1.034,6.0,135.0,1 cup,,,0.0
512,BOYSENBERRIES CANNED HEAVY SYRUP,76.26,88,0.99,0.12,0.32,22.31,2.6,,18.0,0.43,11.0,10.0,90.0,3.0,0.19,0.07,0.25,0.4,6.2,0.026,0.029,0.23,0.131,0.038,34.0,0.0,34.0,34.0,,0.0,40.0,2.0,0.0,,,,,,,0.0,0.0,,0.004,0.012,0.068,0.0,256.0,1 cup,,,0.0
513,BOYSENBERRIES FROZEN UNSWEETENED,85.9,50,1.1,0.26,0.54,12.19,5.3,6.89,27.0,0.85,16.0,27.0,139.0,1.0,0.22,0.08,0.547,0.2,3.1,0.053,0.037,0.767,0.25,0.056,63.0,0.0,63.0,63.0,10.2,0.0,67.0,3.0,0.0,0.0,40.0,0.0,0.0,118.0,0.87,0.0,0.0,7.8,0.009,0.025,0.148,0.0,132.0,"1 cup, unthawed",284.0,"1 package,  (10 oz)",0.0
514,BRATWURST BEEF PORK SMOKED,56.65,297,12.2,26.34,2.81,2.0,0.0,0.0,7.0,1.0,15.0,130.0,283.0,848.0,2.47,0.08,0.041,14.1,0.0,0.38,0.213,3.11,0.69,0.2,4.0,0.0,4.0,4.0,,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6.08,8.0,1.58,78.0,66.0,"1 serving,  2.33 oz",,,0.0
515,BRATWURST CHICKEN COOKED,70.28,176,19.44,10.35,0.88,0.0,0.0,0.0,11.0,0.87,23.0,160.0,211.0,72.0,1.43,0.05,,,2.0,0.067,0.133,7.551,0.964,0.385,6.0,0.0,6.0,6.0,,0.34,101.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,71.0,84.0,"1 serving,  2.96 oz",,,0.0
516,BRATWURST PORK COOKED,51.45,333,13.72,29.18,2.8,2.85,0.0,0.0,28.0,0.53,21.0,208.0,348.0,846.0,3.25,0.104,0.014,39.7,0.0,0.459,0.307,4.795,0.666,0.327,3.0,0.0,3.0,3.0,94.0,0.73,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.26,1.1,44.0,3.4,9.998,14.692,2.632,74.0,85.0,"1 link, cooked",,,0.0
517,BRATWURST VEAL COOKED,53.51,341,13.99,31.7,0.8,0.0,0.0,0.0,11.0,0.74,16.0,150.0,231.0,60.0,2.05,0.081,0.049,19.2,0.0,0.054,0.192,5.43,0.958,0.307,9.0,0.0,9.0,9.0,,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,14.94,13.0,1.614,79.0,84.0,"1 serving,  2.96 oz",,,0.0
518,BRAZILNUTS DRIED UNBLANCHED,3.42,659,14.32,67.1,3.43,11.74,7.5,2.33,160.0,2.43,376.0,725.0,659.0,3.0,4.06,1.743,1.223,1917.0,0.7,0.617,0.035,0.295,0.184,0.101,22.0,0.0,22.0,22.0,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65,0.0,0.0,0.0,16.134,23.879,24.399,0.0,133.0,"1 cup, whole",5.0,1 kernel,49.0
519,BREAD BANANA PREPARED RECIPE MARGARINE,29.2,326,4.3,10.5,1.0,54.6,1.1,,21.0,1.4,14.0,58.0,134.0,302.0,0.35,0.072,0.209,12.1,1.7,0.172,0.2,1.446,0.268,0.15,33.0,22.0,11.0,48.0,,0.1,493.0,106.0,97.0,,102.0,,,,,,,,2.237,4.48,3.13,43.0,28.35,1 oz,57.0,"1 individual,  loaf (include Keebler Elfin Loaves)",0.0
520,BREAD BLUE CORN,55.01,186,3.1,1.53,0.52,39.84,3.6,12.94,34.0,1.58,43.0,94.0,114.0,9.0,0.82,0.119,0.405,3.0,,0.03,0.0,0.55,0.17,0.168,,,,,,,5.0,0.0,,0.0,3.0,1.0,0.0,18.0,0.34,,,,0.289,0.347,0.779,,,,,,0.0
521,BREAD BOSTON BROWN CANNED,47.2,195,5.2,1.5,2.8,43.3,4.7,2.42,70.0,2.1,63.0,112.0,318.0,631.0,0.5,0.08,1.02,21.9,0.0,0.014,0.115,1.12,0.566,0.082,11.0,4.0,7.0,14.0,23.5,0.01,87.0,25.0,25.0,1.0,2.0,0.0,0.0,71.0,0.32,0.0,0.0,2.5,0.282,0.207,0.564,1.0,28.35,1 oz,45.0,1 slice,0.0
522,BREAD CHEESE,21.13,408,10.42,20.83,2.79,44.83,2.1,2.08,90.0,2.49,17.0,120.0,84.0,750.0,0.96,0.086,0.366,19.8,0.0,0.433,0.303,3.279,0.35,0.048,107.0,75.0,32.0,159.0,8.5,0.24,93.0,24.0,23.0,1.0,9.0,0.0,0.0,45.0,1.49,0.1,2.0,32.4,6.25,4.339,9.203,10.0,48.0,1 slice,,,0.0
523,BREAD CINNAMON,41.93,253,7.05,5.29,1.34,44.38,3.5,14.11,71.0,2.54,11.0,57.0,74.0,388.0,0.49,0.064,,12.3,0.0,0.317,0.12,2.822,,0.027,56.0,36.0,21.0,81.0,2.7,0.05,4.0,0.0,0.0,0.0,2.0,2.0,0.0,26.0,0.5,0.0,0.0,9.5,0.0,0.0,3.527,0.0,28.0,"1 slice,  1 serving",,,0.0
524,BREAD CRACKED WHEAT,35.8,260,8.7,3.9,2.1,49.5,5.5,,43.0,2.81,52.0,153.0,177.0,538.0,1.24,0.222,1.371,25.3,0.0,0.358,0.24,3.671,0.512,0.304,61.0,22.0,39.0,76.0,,0.02,0.0,0.0,0.0,,,,,,,,,,0.916,1.902,0.682,0.0,28.35,1 oz,3.2,1 cubic inch,0.0
525,BREAD CRUMBS DRY GRATED PLAIN,6.51,395,13.35,5.3,2.87,71.98,4.5,6.2,183.0,4.83,43.0,165.0,196.0,732.0,1.45,0.255,0.919,25.2,0.0,0.967,0.403,6.634,0.552,0.121,107.0,82.0,25.0,164.0,14.6,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,6.6,1.203,1.023,2.06,0.0,28.35,1 oz,108.0,1 cup,0.0
526,BREAD CRUMBS DRY GRATED SEASONED,6.35,383,14.13,5.48,5.55,68.49,4.9,5.74,182.0,4.92,46.0,177.0,231.0,1336.0,1.43,0.244,0.984,24.7,2.7,0.961,0.415,6.161,0.623,0.171,119.0,91.0,28.0,183.0,14.6,0.35,193.0,10.0,0.0,0.0,116.0,0.0,0.0,0.0,0.26,0.0,0.0,46.0,1.391,1.168,2.3,1.0,28.35,1 oz,120.0,1 cup,0.0
527,BREAD EGG,34.7,287,9.5,6.0,1.8,47.8,2.3,1.78,93.0,3.04,19.0,106.0,115.0,380.0,0.79,0.162,0.5,30.1,0.0,0.438,0.436,4.848,0.282,0.064,105.0,35.0,70.0,130.0,84.3,0.1,211.0,63.0,63.0,0.0,0.0,0.0,0.0,45.0,0.26,0.4,16.0,0.9,1.593,2.302,1.106,51.0,28.35,1 oz,40.0,"1 slice,  (5"" x 3"" x 1/2"")",0.0
528,BREAD EGG TOASTED,28.3,315,10.5,6.6,2.0,52.6,2.5,1.94,102.0,3.34,21.0,117.0,126.0,417.0,0.86,0.178,0.549,32.9,0.0,0.385,0.432,4.795,0.202,0.064,98.0,44.0,54.0,128.0,91.9,0.11,231.0,69.0,69.0,0.0,0.0,0.0,0.0,46.0,0.29,0.5,21.0,1.0,1.616,2.989,1.149,56.0,28.35,1 oz,37.0,"1 slice,  (5"" x 3"" x 1/2"")",0.0
529,BREAD FRENCH VIENNA SOURDOUGH,20.61,319,13.0,2.14,2.31,61.93,3.1,3.59,47.0,3.87,31.0,126.0,140.0,720.0,1.05,0.15,0.573,29.7,0.2,0.427,0.37,5.38,0.616,0.096,140.0,111.0,29.0,217.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.19,0.0,0.0,0.5,0.502,0.386,0.83,0.0,28.35,1 oz,29.0,"1 slice,  small",0.0
530,BREAD FRENCH VIENNA WHEAT,39.81,239,8.33,1.04,1.72,49.1,4.2,0.0,42.0,0.75,52.0,159.0,163.0,375.0,1.16,0.188,,31.4,0.0,0.522,0.252,3.902,,0.16,96.0,50.0,46.0,131.0,10.4,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,97.0,0.3,0.0,0.0,0.7,0.0,0.18,0.576,0.0,48.0,"1 slice,  1 serving",,,0.0
531,BREAD GLUTEN,40.0,245,12.1,2.2,1.9,43.8,3.0,1.44,124.0,4.15,65.0,185.0,322.0,404.0,1.82,0.417,1.472,32.9,0.0,0.36,0.394,4.289,0.42,0.071,116.0,81.0,35.0,173.0,18.7,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,77.0,0.36,0.0,0.0,1.3,0.332,0.183,1.009,0.0,28.35,1 oz,19.0,1 slice,0.0
532,BREAD GLUTEN TOASTED,34.0,270,13.2,2.4,2.1,48.1,3.3,1.44,136.0,4.56,56.0,189.0,346.0,444.0,1.17,0.205,0.803,36.2,0.0,0.317,0.389,4.241,0.3,0.07,99.0,72.0,27.0,149.0,20.3,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,73.0,0.36,0.0,0.0,1.3,0.364,0.201,1.109,0.0,28.35,1 oz,17.0,1 slice,0.0
533,BREAD IRISH SODA PREPARED RECIPE,30.1,290,6.6,5.0,1.9,56.0,2.6,,81.0,2.69,23.0,114.0,266.0,398.0,0.57,0.13,0.355,16.0,0.8,0.298,0.269,2.405,0.25,0.083,47.0,37.0,10.0,73.0,,0.05,194.0,48.0,45.0,,,,,,,,,,1.111,1.999,1.478,18.0,28.35,1 oz,,,0.0
534,BREAD ITALIAN,35.7,271,8.8,3.5,1.9,50.1,3.2,3.17,78.0,2.94,27.0,103.0,110.0,550.0,0.86,0.191,0.464,27.2,0.0,0.473,0.292,4.381,0.378,0.048,191.0,161.0,30.0,304.0,14.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.29,0.0,0.0,1.2,0.0,0.812,1.39,0.0,28.35,1 oz,30.0,"1 slice,  large (4-1/2"" x 3-1/4"" x 3/4"")",0.0
535,BREAD KNEEL,52.96,195,4.29,2.21,1.07,39.47,,3.74,5.0,1.11,55.0,164.0,320.0,126.0,1.46,0.095,0.303,11.9,,0.12,0.132,2.49,0.354,,98.0,,98.0,,,,,,,,,,,,0.0,,,0.3,0.353,0.603,0.847,,28.35,1 oz,,,0.0
536,BREAD MULTI GRAIN,36.94,265,13.36,4.23,2.13,43.34,7.4,6.39,103.0,2.5,78.0,228.0,230.0,381.0,1.7,0.282,2.025,32.9,0.1,0.279,0.131,4.042,0.336,0.263,75.0,0.0,75.0,75.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,94.0,0.37,0.0,0.0,1.4,0.872,0.76,1.872,0.0,28.35,1 oz,26.0,"1 slice,  regular",0.0
537,BREAD MULTI GRAIN GRAIN,31.46,288,14.52,4.6,2.32,47.11,8.1,6.94,111.0,2.72,85.0,247.0,250.0,414.0,1.85,0.307,2.201,35.8,0.1,0.243,0.142,4.394,0.365,0.286,70.0,0.0,70.0,70.0,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.4,0.0,0.0,1.5,0.948,0.826,2.035,0.0,28.35,1 oz,24.0,"1 slice,  regular",0.0
538,BREAD OAT BRAN,44.0,236,10.4,4.4,1.5,39.8,4.5,7.7,65.0,3.12,35.0,141.0,147.0,353.0,0.89,0.135,0.779,30.0,0.0,0.504,0.346,4.831,0.581,0.073,81.0,56.0,25.0,120.0,18.7,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,46.0,0.44,0.0,0.0,1.2,0.697,1.59,1.694,0.0,28.35,1 oz,30.0,1 slice,0.0
539,BREAD OAT BRAN TOASTED,38.5,259,11.4,4.8,1.6,43.7,4.9,8.46,71.0,3.43,34.0,116.0,123.0,387.0,1.05,0.128,0.76,33.0,0.0,0.443,0.343,4.778,0.114,0.04,69.0,50.0,19.0,104.0,16.1,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,48.0,0.48,0.0,0.0,1.3,0.766,1.748,1.861,0.0,28.35,1 oz,27.0,1 slice,0.0
540,BREAD OATMEAL,36.7,269,8.4,4.4,2.0,48.5,4.0,8.14,66.0,2.7,37.0,126.0,142.0,447.0,1.02,0.209,0.94,24.6,0.0,0.399,0.24,3.136,0.341,0.068,62.0,35.0,27.0,87.0,18.7,0.03,16.0,5.0,5.0,0.0,0.0,0.0,0.0,72.0,0.48,0.0,0.0,1.5,0.703,1.578,1.702,0.0,28.35,1 oz,27.0,1 slice,0.0
541,BREAD OATMEAL TOASTED,31.2,292,9.2,4.8,2.1,52.7,4.3,8.84,72.0,2.94,41.0,137.0,154.0,486.0,1.11,0.227,1.022,26.7,0.3,0.347,0.235,3.068,0.241,0.067,53.0,32.0,21.0,75.0,15.9,0.02,15.0,5.0,5.0,0.0,0.0,0.0,0.0,75.0,0.53,0.0,0.0,1.7,0.764,1.715,1.85,0.0,28.35,1 oz,25.0,1 slice,0.0
542,BREAD PITA WHEAT,30.6,262,9.8,1.71,2.0,55.89,6.1,2.87,15.0,3.06,69.0,180.0,170.0,527.0,1.52,0.29,1.74,44.0,0.0,0.339,0.08,2.84,0.831,0.265,35.0,0.0,35.0,35.0,26.5,0.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,53.0,0.61,0.0,0.0,1.4,0.147,0.247,0.747,0.0,64.0,"1 pita,  large (6-1/2"" dia)",28.0,"1 pita,  small  (4"" dia)",0.0
543,BREAD PITA WHITE ENRICHED,32.1,275,9.1,1.2,1.9,55.7,2.2,1.3,86.0,2.62,26.0,97.0,120.0,536.0,0.84,0.168,0.481,27.1,0.0,0.599,0.327,4.632,0.397,0.034,107.0,83.0,24.0,165.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.3,0.0,0.0,0.2,0.166,0.105,0.535,0.0,60.0,"1 pita,  large (6-1/2"" dia)",28.0,"1 pita,  small  (4"" dia)",0.0
544,BREAD PITA WHITE UNENRICHED,32.1,275,9.1,1.2,1.9,55.7,2.2,,86.0,1.4,26.0,97.0,120.0,536.0,0.84,0.168,0.481,,0.0,0.267,0.097,2.142,0.397,0.034,24.0,0.0,24.0,24.0,,0.0,0.0,0.0,0.0,,,,,,,,,,0.166,0.105,0.535,0.0,28.35,1 oz,60.0,"1 pita,  large (6-1/2"" dia)",0.0
545,BREAD POTATO,33.55,266,12.5,3.13,3.76,47.07,6.3,9.38,188.0,2.25,28.0,369.0,718.0,375.0,1.44,0.094,0.253,9.5,0.0,0.188,0.106,1.25,0.817,0.232,126.0,33.0,92.0,149.0,18.4,0.15,89.0,24.0,24.0,0.0,6.0,0.0,0.0,17.0,0.47,0.1,2.0,6.8,0.0,0.0,0.0,0.0,32.0,1 slice,,,0.0
546,BREAD PUMPERNICKEL,37.9,250,8.7,3.1,2.6,47.5,6.5,0.53,68.0,2.87,54.0,178.0,208.0,596.0,1.48,0.287,1.305,24.5,0.0,0.327,0.305,3.091,0.404,0.126,93.0,59.0,34.0,134.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.42,0.0,0.0,0.8,0.437,0.932,1.237,0.0,28.35,1 oz,26.0,"1 slice,  regular",0.0
547,BREAD PUMPERNICKEL TOASTED,31.8,275,9.5,3.4,2.8,52.2,7.1,0.58,74.0,3.15,60.0,195.0,228.0,655.0,1.62,0.315,1.434,26.9,0.0,0.287,0.301,3.057,0.288,0.124,87.0,61.0,26.0,129.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.46,0.0,0.0,0.9,0.481,1.024,1.359,0.0,28.35,1 oz,29.0,"1 slice,  (5"" x 4"" x 3/8"")",0.0
548,BREAD RAISIN ENRICHED,33.6,274,7.9,4.4,1.8,52.3,4.3,5.68,66.0,2.9,26.0,109.0,227.0,347.0,0.72,0.198,0.501,20.0,0.1,0.339,0.398,3.466,0.387,0.069,106.0,72.0,34.0,156.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.28,0.0,0.0,1.7,1.081,2.294,0.679,0.0,28.35,1 oz,32.0,"1 slice,  large",0.0
549,BREAD RAISIN ENRICHED TOASTED,27.8,297,8.6,4.8,1.9,56.9,4.7,6.18,72.0,3.15,28.0,118.0,246.0,377.0,0.78,0.215,0.545,21.7,0.4,0.294,0.39,3.391,0.274,0.068,98.0,72.0,26.0,148.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.31,0.0,0.0,1.9,1.175,2.494,0.738,0.0,28.35,1 oz,29.0,"1 slice,  large",0.0
550,BREAD RAISIN UNENRICHED,33.6,274,7.9,4.4,1.8,52.3,4.3,,66.0,1.83,26.0,109.0,227.0,390.0,0.72,0.198,0.501,,0.1,0.177,0.173,1.495,0.387,0.069,34.0,0.0,34.0,34.0,,0.0,0.0,0.0,0.0,,,,,,,,,,1.081,2.294,0.679,0.0,28.35,1 oz,32.0,"1 slice,  large",0.0
551,BREAD REDUCED CALORIE OAT BRAN,46.0,201,8.0,3.2,1.5,41.3,12.0,3.52,57.0,3.15,55.0,139.0,102.0,459.0,1.05,0.291,1.101,20.6,0.0,0.354,0.203,3.763,0.492,0.103,81.0,47.0,34.0,114.0,14.6,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,42.0,0.28,0.0,0.0,1.7,0.445,0.684,1.67,0.0,28.35,1 oz,23.0,1 slice,0.0
552,BREAD REDUCED CALORIE OATMEAL,44.0,210,7.6,3.5,1.6,43.3,,,115.0,2.3,24.0,100.0,124.0,388.0,0.83,0.099,0.539,23.0,0.2,0.348,0.28,3.03,0.431,0.045,55.0,21.0,34.0,70.0,,0.1,6.0,0.0,0.0,,,,,,,,,,0.599,0.822,1.351,0.0,28.35,1 oz,23.0,1 slice,0.0
553,BREAD REDUCED CALORIE RYE,46.0,203,9.1,2.9,1.6,40.5,12.0,2.29,76.0,3.1,22.0,78.0,98.0,513.0,0.66,0.133,0.453,27.9,0.4,0.367,0.24,2.527,0.297,0.077,58.0,35.0,23.0,83.0,14.6,0.04,4.0,0.0,0.0,0.0,2.0,1.0,0.0,37.0,0.28,0.0,0.0,0.6,0.368,0.672,0.752,0.0,28.35,1 oz,23.0,1 slice,0.0
554,BREAD REDUCED CALORIE WHEAT,39.6,217,13.32,2.92,1.68,42.47,11.1,3.71,163.0,2.91,43.0,149.0,150.0,332.0,1.35,0.171,1.21,30.4,0.1,0.35,0.14,3.78,,0.06,91.0,63.0,28.0,135.0,18.7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,41.0,0.24,0.0,0.0,0.2,0.84,0.523,1.196,0.0,28.35,1 oz,21.0,1 slice,0.0
555,BREAD REDUCED CALORIE WHITE,42.9,207,8.7,2.5,1.7,44.3,9.7,4.76,94.0,3.19,23.0,121.0,76.0,479.0,1.34,0.33,0.391,21.7,0.5,0.41,0.289,3.641,0.462,0.042,95.0,61.0,34.0,138.0,14.6,0.28,3.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,0.19,0.0,0.0,0.6,0.549,1.077,0.559,0.0,28.35,1 oz,23.0,1 slice,0.0
556,BREAD RICE BRAN,41.0,243,8.9,4.6,2.0,43.5,4.9,4.67,69.0,3.61,80.0,178.0,215.0,269.0,1.31,0.184,1.585,28.7,0.0,0.653,0.3,6.81,0.776,0.268,86.0,56.0,30.0,125.0,18.7,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.65,0.0,0.0,1.0,0.709,1.654,1.76,0.0,28.35,1 oz,27.0,1 slice,0.0
557,BREAD RICE BRAN TOASTED,35.9,264,9.7,5.0,2.2,47.3,5.3,5.08,75.0,3.92,76.0,174.0,212.0,292.0,1.38,0.182,1.521,31.2,0.0,0.568,0.293,6.662,0.26,0.208,79.0,56.0,23.0,118.0,15.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.71,0.0,0.0,1.1,0.771,1.798,1.913,0.0,28.35,1 oz,25.0,1 slice,0.0
558,BREAD ROLL MEXICAN BOLLILO,26.05,318,10.65,5.8,1.73,55.77,2.2,3.55,41.0,3.9,30.0,111.0,131.0,506.0,0.88,0.135,0.68,38.8,0.2,0.68,0.43,5.585,0.52,0.105,127.0,70.0,57.0,176.0,14.3,0.13,5.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,10.9,1.401,2.658,1.022,1.0,98.0,1 piece,,,0.0
559,BREAD RYE,37.3,259,8.5,3.3,2.5,48.3,5.8,3.85,73.0,2.83,40.0,125.0,166.0,603.0,1.14,0.186,0.824,30.9,0.4,0.434,0.335,3.805,0.44,0.075,110.0,59.0,51.0,151.0,14.6,0.0,7.0,0.0,0.0,0.0,4.0,1.0,0.0,54.0,0.33,0.0,0.0,1.2,0.626,1.311,0.799,0.0,28.35,1 oz,32.0,"1 slice,  regular",0.0
560,BREAD RYE TOASTED,31.0,284,9.4,3.6,2.7,53.1,6.4,4.23,80.0,3.1,43.0,138.0,183.0,664.0,1.25,0.204,0.905,34.0,0.2,0.382,0.332,3.763,0.314,0.074,103.0,64.0,39.0,148.0,16.1,0.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,56.0,0.37,0.0,0.0,1.3,0.688,1.44,0.879,0.0,28.35,1 oz,29.0,"1 slice,  large",0.0
561,BREAD SALVADORAN SWEET SALVADORENA,25.48,374,7.12,17.12,2.44,47.84,0.7,24.9,73.0,0.98,11.0,200.0,350.0,510.0,0.8,0.03,0.24,13.3,0.0,0.02,0.08,1.2,0.7,0.04,33.0,21.0,12.0,48.0,36.5,0.35,584.0,141.0,135.0,0.0,81.0,1.0,0.0,41.0,0.96,0.3,14.0,11.2,4.612,6.794,4.428,59.0,55.0,"1 serving,  (approximate serving size)",399.0,"1 cake, square (average weight of whole item)",0.0
562,BREAD STICKS PLAIN,6.1,412,12.0,9.5,3.9,68.4,3.0,1.26,22.0,4.28,32.0,121.0,124.0,713.0,0.88,0.188,0.557,37.5,0.0,0.589,0.553,5.281,0.54,0.073,162.0,132.0,30.0,255.0,14.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,65.0,1.01,0.0,0.0,2.2,1.41,3.568,3.628,0.0,46.0,"1 cup, small pieces",5.0,"1 stick,  small (approx 4-1/4"" long)",0.0
563,BREAD STUFFING BREAD DRY MIX,4.2,386,11.0,3.4,5.2,76.2,3.2,8.27,97.0,3.81,40.0,141.0,246.0,1405.0,0.93,0.238,0.594,48.0,0.0,0.596,0.404,5.766,0.398,0.152,168.0,82.0,86.0,225.0,14.6,0.02,2.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,0.38,0.0,0.0,1.1,0.845,1.493,0.713,1.0,28.35,1 oz,170.0,"1 package,  (6 oz)",0.0
564,BREAD STUFFING CORNBREAD DRY MIX,4.6,389,10.0,4.2,4.4,76.7,14.3,13.16,78.0,3.25,44.0,113.0,204.0,1429.0,0.75,0.228,0.529,29.6,3.5,0.509,0.348,4.873,0.284,0.146,175.0,133.0,42.0,269.0,,0.01,157.0,8.0,0.0,,,,,,,,,,0.922,1.662,1.073,0.0,28.35,1 oz,170.0,"1 package,  (6 oz)",0.0
565,BREAD WHEAT,35.25,274,10.67,4.53,2.01,47.54,4.0,5.73,125.0,3.6,41.0,129.0,141.0,473.0,1.04,0.148,1.026,28.8,0.2,0.411,0.252,5.59,0.82,0.111,85.0,20.0,65.0,99.0,18.7,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,44.0,0.19,0.0,0.0,4.9,0.697,0.612,1.615,0.0,29.0,1 slice,,,0.0
566,BREAD WHEAT BRAN,37.8,248,8.8,3.4,2.2,47.8,4.0,9.68,74.0,3.07,81.0,185.0,227.0,486.0,1.35,0.221,1.668,31.0,0.0,0.397,0.287,4.402,0.536,0.176,105.0,80.0,25.0,161.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.32,0.0,0.0,1.3,0.779,1.618,0.649,0.0,28.35,1 oz,36.0,1 slice,0.0
567,BREAD WHEAT COMM PREPARED,39.01,252,12.45,3.5,2.32,42.71,6.0,4.34,161.0,2.47,75.0,212.0,254.0,455.0,1.77,0.227,2.174,25.7,0.0,0.394,0.167,4.438,0.646,0.215,42.0,0.0,42.0,42.0,27.2,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,87.0,2.66,0.0,0.0,7.8,0.722,0.62,1.592,0.0,32.0,1 slice,28.35,1 oz,0.0
568,BREAD WHEAT COMMER PREPARED TOASTED,24.25,306,16.27,4.07,4.25,51.16,7.5,5.77,130.0,2.96,99.0,303.0,326.0,565.0,2.15,0.67,2.545,52.6,0.0,0.376,0.284,5.732,0.722,0.237,52.0,0.0,52.0,52.0,33.8,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,89.0,0.63,0.0,0.0,9.0,0.922,1.972,0.74,0.0,28.35,1 oz,25.0,1 slice,0.0
569,BREAD WHEAT GERM TOASTED,29.3,293,10.7,3.3,2.4,54.3,2.3,4.14,100.0,3.88,38.0,175.0,285.0,621.0,1.46,0.202,1.259,30.5,0.3,0.332,0.379,4.548,0.34,0.096,112.0,69.0,43.0,160.0,22.1,0.07,4.0,0.0,0.0,0.0,2.0,0.0,0.0,58.0,0.57,0.0,0.0,1.2,0.738,1.432,0.751,1.0,28.35,1 oz,25.0,1 slice,0.0
570,BREAD WHEAT PREPARED RECIPE,32.7,278,8.4,5.4,2.0,51.4,6.0,3.84,33.0,3.1,81.0,187.0,314.0,346.0,1.5,0.253,1.881,38.6,0.0,0.303,0.227,3.985,0.473,0.199,65.0,18.0,47.0,78.0,26.5,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,89.0,0.76,0.0,0.0,9.4,0.796,1.158,2.939,0.0,28.35,1 oz,46.0,"1 slice,  regular (4"" x 5"" x 3/4"")",0.0
571,BREAD WHEAT PREPARED RECIPE TOASTED,26.0,305,9.2,5.9,2.2,56.4,6.7,4.22,36.0,3.4,89.0,205.0,345.0,381.0,1.65,0.278,2.067,42.5,0.0,0.266,0.225,3.941,0.338,0.197,67.0,31.0,36.0,89.0,29.2,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,97.0,0.84,0.0,0.0,10.4,0.874,1.272,3.23,0.0,28.35,1 oz,42.0,1 slice,0.0
